
🎯 **Evaluation Metrics:**
✅ Accuracy: 0.2098
✅ Precision: 0.6502
✅ Recall: 0.2098
✅ F1-score: 0.1175

**Test Sample Predictions:**
🖼 Image: ./split_dataset/test/flood/images/hurricaneirma_2017-11-21_20-09-53.jpg | ✅ True: flood | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/human_damage/images/isiscrimes_2015-07-15_10-28-20.jpg | ✅ True: human_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/fires/images/buildingfire_2017-07-05_05-56-59.jpg | ✅ True: fires | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/fires/images/forrestfire_2016-06-14_23-32-52.jpg | ✅ True: fires | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/fires/images/buildingfire_2017-07-22_01-24-08.jpg | ✅ True: fires | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/fires/images/forrestfire_2017-10-21_18-23-24.jpg | ✅ True: fires | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/fires/images/buildingfire_2016-09-17_06-01-57.jpg | ✅ True: fires | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/fires/images/naturaldisaster_2017-10-17_06-35-54.jpg | ✅ True: fires | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/fires/images/forrestfire_2016-01-17_20-05-38.jpg | ✅ True: fires | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/fires/images/buildingfire_2017-10-09_17-08-54.jpg | ✅ True: fires | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/fires/images/forrestfire_2016-12-25_15-34-36.jpg | ✅ True: fires | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/fires/images/buildingfire_2017-04-04_07-11-29.jpg | ✅ True: fires | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/fires/images/forrestfire_2016-01-17_20-00-07.jpg | ✅ True: fires | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/fires/images/terrorattack_2017-08-14_11-49-53.jpg | ✅ True: fires | 🔍 Predicted: human_damage
🖼 Image: ./split_dataset/test/fires/images/buildingfire_2017-10-25_18-38-13.jpg | ✅ True: fires | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/fires/images/buildingfire_2017-02-13_07-37-33.jpg | ✅ True: fires | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/fires/images/forrestfire_2017-04-10_05-11-56.jpg | ✅ True: fires | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/fires/images/buildingcollapse_2015-03-26_22-09-18.jpg | ✅ True: fires | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/fires/images/buildingfire_2016-10-09_21-24-26.jpg | ✅ True: fires | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/fires/images/naturaldisaster_2017-10-23_18-47-18.jpg | ✅ True: fires | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/fires/images/buildingfire_2017-10-15_22-30-00.jpg | ✅ True: fires | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/fires/images/buildingfire_2017-07-22_01-23-24.jpg | ✅ True: fires | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/fires/images/buildingfire_2017-08-23_06-46-42.jpg | ✅ True: fires | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/fires/images/forrestfire_2017-08-01_01-46-37.jpg | ✅ True: fires | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/fires/images/terrorattack_2017-06-26_18-31-08.jpg | ✅ True: fires | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/fires/images/forrestfire_2017-07-18_19-09-58.jpg | ✅ True: fires | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/fires/images/forrestfire_2017-10-12_18-39-36.jpg | ✅ True: fires | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/fires/images/forrestfire_2017-09-05_07-00-11.jpg | ✅ True: fires | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/fires/images/buildingfire_2017-07-07_16-54-24.jpg | ✅ True: fires | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/fires/images/buildingfire_2017-08-06_08-41-52.jpg | ✅ True: fires | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/fires/images/forrestfire_2016-11-30_02-49-06.jpg | ✅ True: fires | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/fires/images/buildingfire_2017-06-15_01-57-21.jpg | ✅ True: fires | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/fires/images/forrestfire_2016-08-02_20-38-13.jpg | ✅ True: fires | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/fires/images/buildingfire_2017-03-07_02-56-46.jpg | ✅ True: fires | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/fires/images/accrafloods_2015-06-05_08-08-35.jpg | ✅ True: fires | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/fires/images/naturaldisaster_2017-10-25_15-39-10.jpg | ✅ True: fires | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/fires/images/forrestfire_2016-04-30_05-12-12.jpg | ✅ True: fires | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/fires/images/naturaldisaster_2017-10-13_20-21-39.jpg | ✅ True: fires | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/fires/images/forrestfire_2017-09-07_08-21-28.jpg | ✅ True: fires | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/fires/images/buildingfire_2017-06-24_20-32-57.jpg | ✅ True: fires | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/fires/images/buildingfire_2016-07-24_08-40-30.jpg | ✅ True: fires | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/fires/images/forrestfire_2017-09-02_10-38-09.jpg | ✅ True: fires | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/fires/images/yemencrisis_2017-11-05_15-03-15.jpg | ✅ True: fires | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/fires/images/wildfires_2017-11-19_19-39-57.jpg | ✅ True: fires | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/fires/images/naturaldisaster_2017-10-15_23-50-23.jpg | ✅ True: fires | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/fires/images/disaster_2017-10-30_12-40-15.jpg | ✅ True: fires | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/fires/images/buildingfire_2016-10-01_04-05-58.jpg | ✅ True: fires | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/fires/images/forrestfire_2017-08-02_17-20-35.jpg | ✅ True: fires | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/fires/images/forrestfire_2017-07-18_16-34-51.jpg | ✅ True: fires | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/fires/images/forrestfire_2017-05-22_18-23-38.jpg | ✅ True: fires | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/fires/images/suicidebombing_2017-11-21_17-45-15.jpg | ✅ True: fires | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/fires/images/buildingfire_2017-03-05_07-26-15.jpg | ✅ True: fires | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/fires/images/buildingfire_2016-07-22_03-33-25.jpg | ✅ True: fires | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/fires/images/terrorattack_2017-10-15_14-22-42.jpg | ✅ True: fires | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/fires/images/wildfires_2017-11-20_21-48-01.jpg | ✅ True: fires | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/fires/images/suicidebombing_2017-07-03_14-15-02.jpg | ✅ True: fires | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/fires/images/disaster_2017-10-28_11-43-24.jpg | ✅ True: fires | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/fires/images/naturaldisaster_2017-10-12_23-21-26.jpg | ✅ True: fires | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/fires/images/buildingfire_2017-10-05_22-47-29.jpg | ✅ True: fires | 🔍 Predicted: fires
🖼 Image: ./split_dataset/test/fires/images/forrestfire_2017-08-30_09-37-41.jpg | ✅ True: fires | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/fires/images/naturaldisaster_2017-10-29_15-07-16.jpg | ✅ True: fires | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/fires/images/buildingcollapse_2014-03-25_20-42-04.jpg | ✅ True: fires | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/fires/images/disasters_2017-09-08_04-13-35.jpg | ✅ True: fires | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/fires/images/buildingcollapse_2017-01-20_15-11-25.jpg | ✅ True: fires | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/fires/images/disasters_2017-09-07_18-43-41.jpg | ✅ True: fires | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/fires/images/buildingfire_2017-07-20_02-04-46.jpg | ✅ True: fires | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/fires/images/forrestfire_2017-01-10_13-15-07.jpg | ✅ True: fires | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/fires/images/buildingfire_2016-11-09_17-48-04.jpg | ✅ True: fires | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/fires/images/naturaldisaster_2017-10-20_17-02-43.jpg | ✅ True: fires | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/fires/images/forrestfire_2017-09-14_08-02-59.jpg | ✅ True: fires | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/fires/images/forrestfire_2017-10-08_10-56-06.jpg | ✅ True: fires | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/fires/images/buildingfire_2017-02-25_03-14-47.jpg | ✅ True: fires | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/fires/images/forrestfire_2016-07-21_04-32-29.jpg | ✅ True: fires | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/fires/images/forrestfire_2017-03-17_13-51-25.jpg | ✅ True: fires | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/fires/images/disaster_2017-10-30_16-42-18.jpg | ✅ True: fires | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/fires/images/disaster_2017-10-30_13-00-29.jpg | ✅ True: fires | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/fires/images/yemencrisis_2017-07-20_08-53-50.jpg | ✅ True: fires | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/fires/images/buildingfire_2017-10-04_08-03-07.jpg | ✅ True: fires | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/fires/images/buildingfire_2017-03-07_02-50-35.jpg | ✅ True: fires | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/fires/images/forrestfire_2017-06-28_22-15-41.jpg | ✅ True: fires | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/fires/images/disaster_2017-10-29_10-30-59.jpg | ✅ True: fires | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/fires/images/forrestfire_2017-10-18_02-15-13.jpg | ✅ True: fires | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/fires/images/buildingfire_2017-03-07_00-21-22.jpg | ✅ True: fires | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/fires/images/buildingfire_2016-08-11_06-47-24.jpg | ✅ True: fires | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/fires/images/wildfires_2017-11-20_21-39-11.jpg | ✅ True: fires | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/fires/images/buildingfire_2017-02-05_19-31-24.jpg | ✅ True: fires | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/fires/images/buildingfire_2017-01-11_16-20-24.jpg | ✅ True: fires | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/fires/images/forrestfire_2017-10-08_10-55-43.jpg | ✅ True: fires | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/fires/images/buildingfire_2017-04-30_02-06-10.jpg | ✅ True: fires | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/fires/images/buildingfire_2016-12-12_18-18-24.jpg | ✅ True: fires | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/fires/images/buildingfire_2017-06-14_11-59-55.jpg | ✅ True: fires | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/fires/images/forrestfire_2016-05-27_04-05-59.jpg | ✅ True: fires | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/fires/images/forrestfire_2017-10-16_13-42-10.jpg | ✅ True: fires | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/fires/images/buildingfire_2016-07-24_23-32-33.jpg | ✅ True: fires | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/fires/images/buildingfire_2016-08-23_02-45-51.jpg | ✅ True: fires | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/fires/images/buildingfire_2017-07-23_04-45-55.jpg | ✅ True: fires | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/fires/images/buildingfire_2016-08-12_01-31-35.jpg | ✅ True: fires | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/fires/images/buildingfire_2016-08-26_05-26-27.jpg | ✅ True: fires | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/fires/images/forrestfire_2017-09-07_22-38-25.jpg | ✅ True: fires | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/fires/images/forrestfire_2017-11-16_03-00-12.jpg | ✅ True: fires | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/fires/images/buildingfire_2016-11-25_02-28-16.jpg | ✅ True: fires | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/fires/images/naturaldisaster_2017-10-17_19-51-38.jpg | ✅ True: fires | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_nature/images/naturaldisaster_2017-10-15_05-14-55.jpg | ✅ True: damaged_nature | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_nature/images/treesfalling_2014-02-13_17-53-19.jpg | ✅ True: damaged_nature | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_nature/images/windstorm_2017-11-15_04-37-54.jpg | ✅ True: damaged_nature | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_nature/images/drought_2017-11-21_19-57-51.jpg | ✅ True: damaged_nature | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_nature/images/hurricaneirma_2017-11-20_04-47-21.jpg | ✅ True: damaged_nature | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_nature/images/landslide_2017-10-20_02-11-56.jpg | ✅ True: damaged_nature | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_nature/images/treesfalling_2017-04-16_14-44-38.jpg | ✅ True: damaged_nature | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_nature/images/treesfalling_2015-12-12_09-32-29.jpg | ✅ True: damaged_nature | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_nature/images/drought_2017-11-17_03-14-37.jpg | ✅ True: damaged_nature | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_nature/images/treesfalling_2014-02-05_14-50-39.jpg | ✅ True: damaged_nature | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_nature/images/drought_2017-11-13_15-25-09.jpg | ✅ True: damaged_nature | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_nature/images/hurricaneirma_2017-11-16_02-07-16.jpg | ✅ True: damaged_nature | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_nature/images/naturaldisaster_2017-10-13_20-10-02.jpg | ✅ True: damaged_nature | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_nature/images/drought_2017-11-21_11-40-36.jpg | ✅ True: damaged_nature | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_nature/images/hurricanematthew_2017-10-07_13-47-34.jpg | ✅ True: damaged_nature | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_nature/images/treesfalling_2016-07-01_00-09-37.jpg | ✅ True: damaged_nature | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_nature/images/treesfalling_2017-08-04_05-19-34.jpg | ✅ True: damaged_nature | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_nature/images/windstorm_2017-11-15_07-41-04.jpg | ✅ True: damaged_nature | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_nature/images/naturaldisaster_2017-10-21_11-32-28.jpg | ✅ True: damaged_nature | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_nature/images/drought_2017-11-06_11-08-28.jpg | ✅ True: damaged_nature | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_nature/images/landslide_2017-10-20_16-13-30.jpg | ✅ True: damaged_nature | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_nature/images/hurricaneirma_2017-11-23_02-54-24.jpg | ✅ True: damaged_nature | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_nature/images/landslide_2017-10-11_08-22-06.jpg | ✅ True: damaged_nature | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_nature/images/landslide_2017-10-25_00-17-26.jpg | ✅ True: damaged_nature | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_nature/images/treesfalling_2017-01-14_17-42-17.jpg | ✅ True: damaged_nature | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_nature/images/windstorm_2017-11-14_00-53-08.jpg | ✅ True: damaged_nature | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_nature/images/naturaldisaster_2017-10-15_22-17-22.jpg | ✅ True: damaged_nature | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_nature/images/drought_2017-11-05_16-46-40.jpg | ✅ True: damaged_nature | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_nature/images/drought_2017-11-06_03-08-55.jpg | ✅ True: damaged_nature | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_nature/images/hurricaneirma_2017-11-20_07-16-05.jpg | ✅ True: damaged_nature | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_nature/images/treefalling_2017-10-28_11-13-49.jpg | ✅ True: damaged_nature | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_nature/images/treesfalling_2017-04-08_00-01-02.jpg | ✅ True: damaged_nature | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_nature/images/hurricaneirma_2017-11-19_18-30-24.jpg | ✅ True: damaged_nature | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_nature/images/treesfalling_2017-09-10_23-21-34.jpg | ✅ True: damaged_nature | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_nature/images/treefalling_2017-10-30_00-48-45.jpg | ✅ True: damaged_nature | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_nature/images/windstorm_2017-11-18_05-18-18.jpg | ✅ True: damaged_nature | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_nature/images/windstorm_2017-11-14_23-01-35.jpg | ✅ True: damaged_nature | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_nature/images/landslide_2017-10-12_13-22-48.jpg | ✅ True: damaged_nature | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_nature/images/treesfalling_2016-01-07_21-44-50.jpg | ✅ True: damaged_nature | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_nature/images/hurricaneirma_2017-11-22_19-55-00.jpg | ✅ True: damaged_nature | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_nature/images/landslide_2017-10-26_15-11-59.jpg | ✅ True: damaged_nature | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_nature/images/drought_2017-11-03_22-41-19.jpg | ✅ True: damaged_nature | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_nature/images/hurricaneirma_2017-11-20_18-58-51.jpg | ✅ True: damaged_nature | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_nature/images/naturaldisaster_2017-10-16_04-56-54.jpg | ✅ True: damaged_nature | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_nature/images/drought_2017-11-05_04-12-57.jpg | ✅ True: damaged_nature | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_nature/images/treesfalling_2017-10-27_06-13-07.jpg | ✅ True: damaged_nature | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_nature/images/windstorm_2017-11-14_06-53-44.jpg | ✅ True: damaged_nature | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_nature/images/wildfires_2017-11-20_15-02-02.jpg | ✅ True: damaged_nature | 🔍 Predicted: damaged_nature
🖼 Image: ./split_dataset/test/damaged_nature/images/treesfalling_2017-03-15_00-41-32.jpg | ✅ True: damaged_nature | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_nature/images/treesfalling_2017-03-11_04-01-30.jpg | ✅ True: damaged_nature | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_nature/images/treesfalling_2015-08-31_04-31-10.jpg | ✅ True: damaged_nature | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_nature/images/landslide_2017-10-29_23-29-09.jpg | ✅ True: damaged_nature | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_nature/images/drought_2017-10-30_21-26-53.jpg | ✅ True: damaged_nature | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_nature/images/windstorm_2017-11-16_00-58-54.jpg | ✅ True: damaged_nature | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_nature/images/hurricaneirma_2017-11-18_16-06-07.jpg | ✅ True: damaged_nature | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_nature/images/treesfalling_2015-08-29_23-38-14.jpg | ✅ True: damaged_nature | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_nature/images/windstorm_2017-11-14_02-47-22.jpg | ✅ True: damaged_nature | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_nature/images/landslide_2017-10-24_21-48-35.jpg | ✅ True: damaged_nature | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_nature/images/naturaldisaster_2017-10-13_03-20-38.jpg | ✅ True: damaged_nature | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_nature/images/drought_2017-11-21_06-56-47.jpg | ✅ True: damaged_nature | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_nature/images/treesfalling_2017-11-12_04-19-12.jpg | ✅ True: damaged_nature | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_nature/images/landslide_2017-10-27_15-41-54.jpg | ✅ True: damaged_nature | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_nature/images/landslide_2017-10-30_07-59-43.jpg | ✅ True: damaged_nature | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_nature/images/hurricaneirma_2017-11-23_21-26-22.jpg | ✅ True: damaged_nature | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_nature/images/landslide_2017-10-21_13-55-51.jpg | ✅ True: damaged_nature | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_nature/images/hurricanematthew_2017-10-06_22-56-24.jpg | ✅ True: damaged_nature | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_nature/images/landslide_2017-10-11_15-00-52.jpg | ✅ True: damaged_nature | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_nature/images/treesfalling_2013-07-25_16-37-46.jpg | ✅ True: damaged_nature | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_nature/images/landslide_2017-10-12_11-05-37.jpg | ✅ True: damaged_nature | 🔍 Predicted: damaged_nature
🖼 Image: ./split_dataset/test/damaged_nature/images/naturaldisaster_2017-10-22_01-32-11.jpg | ✅ True: damaged_nature | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_nature/images/treesfalling_2014-09-17_05-02-55.jpg | ✅ True: damaged_nature | 🔍 Predicted: flood
🖼 Image: ./split_dataset/test/damaged_nature/images/hurricaneirma_2017-11-20_18-07-24.jpg | ✅ True: damaged_nature | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_nature/images/windstorm_2017-11-14_01-48-53.jpg | ✅ True: damaged_nature | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_nature/images/naturaldisaster_2017-10-15_00-50-38.jpg | ✅ True: damaged_nature | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_nature/images/naturaldisaster_2017-10-23_07-38-04.jpg | ✅ True: damaged_nature | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_nature/images/landslide_2017-10-13_17-09-11.jpg | ✅ True: damaged_nature | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_nature/images/drought_2017-11-04_17-43-43.jpg | ✅ True: damaged_nature | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_nature/images/windstorm_2017-11-14_01-27-07.jpg | ✅ True: damaged_nature | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_nature/images/treesfalling_2015-08-30_03-04-34.jpg | ✅ True: damaged_nature | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_nature/images/drought_2017-11-18_15-07-42.jpg | ✅ True: damaged_nature | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_nature/images/naturaldisaster_2017-10-15_18-22-52.jpg | ✅ True: damaged_nature | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_nature/images/treesfalling_2013-12-22_21-13-51.jpg | ✅ True: damaged_nature | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_nature/images/naturaldisaster_2017-10-15_16-18-58.jpg | ✅ True: damaged_nature | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_nature/images/hurricaneirma_2017-11-19_18-33-18.jpg | ✅ True: damaged_nature | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_nature/images/naturaldisaster_2017-10-28_23-07-30.jpg | ✅ True: damaged_nature | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_nature/images/treesfalling_2017-02-18_01-28-59.jpg | ✅ True: damaged_nature | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_nature/images/drought_2017-11-01_20-29-43.jpg | ✅ True: damaged_nature | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_nature/images/treesfalling_2017-05-01_10-47-31.jpg | ✅ True: damaged_nature | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_nature/images/landslide_2017-10-08_07-12-09.jpg | ✅ True: damaged_nature | 🔍 Predicted: non_damage
